gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Cambodian guerrillas	1	2	0	0	0
Cambodian Gunmen	1	1	2	0	0
Cambodian National Front for National Salvation	1	1	0	1	1
Cambodian People's Party (CPP)	4	48	119	0	0
Canary Islands Independence Movement	34	0	14	3	0.0882352941176471
Cannibal Army	4	0	0	0	0
Caribbean Revolutionary Alliance (ARC)	25	1	26	23	0.92
Carlos Echeverria commando group	2	0	4	2	1
Carribbean Revolutionary Independence Army	1	0	15	1	1
Casamance Separatists	1	1	0	0	0
Catalan independence group	1	0	0	0	0
Catalan Liberation Front (FAC)	26	2	0	1	0.0384615384615385
Catalan Militia	1	0	0	0	0
Catalonian Resistance	1	0	0	0	0
Catholic E. Timurese	1	1	0	0	0
Catholic Reaction Force	3	3	0	0	0
Caucasus Emirate	30	132	426	0	0
CCCCC	5	0	0	0	0
Cell for Internationalism	1	0	0	1	1
Cells for Solidarity Against Authority	1	0	0	0	0
Census Opponents	1	0	0	0	0
Central African National Liberation Movement	1	3	0	0	0
Central American Movement of Solidarity (MOSCA)	2	0	0	0	0
Central American Revolutionary Workers Party (PRTC)	1	2	0	1	1
Central University students	1	0	0	0	0
Chakma tribal group	1	0	0	1	1
Charles Martel Group	3	0	0	2	0.666666666666667
Charlot Jacquelin Militant Front	1	0	0	0	0
Che Guevara Brigade	14	0	0	11	0.785714285714286
Che Guevara Guerrillas	5	0	0	0	0
Chechen Lone Wolf Group	2	23	0	0	0
Chechen Rebels	325	1626	2760	4	0.0123076923076923
Chicano Liberation Front	31	2	4	0	0
Chicano Radicals	10	0	0	0	0
Children of November	2	0	0	0	0
Chilean Anti-Communist Alliance (ACHA)	6	1	0	0	0
Chilean Committee of Support for the Peruvian Revolution	1	0	0	1	1
Chin National Army	1	0	1	0	0
Chinese Illegal Immigrant	1	0	0	0	0
Chinese Mafia	1	1	1	0	0
Chinese Pirates	1	0	0	1	1
Chondaehyop (Radical Student Coalition)	1	0	0	1	1
Chonson Univ. students	1	0	0	0	0
Christ Chaos	3	0	0	0	0
Christian Group for the Respect for Life	1	0	0	0	0
Christian Liberation Army	2	0	0	0	0
Christian Palestinian group	1	0	0	0	0
Christians	5	303	38	0	0
Chukakuha (Middle Core Faction)	61	2	2	2	0.0327868852459016
Chukakuha Revolutionary Army	1	0	0	0	0
Cinchoneros Popular Liberation Movement	24	8	7	4	0.166666666666667
Citizen's Rights Protection Volunteers	2	3	1	0	0
Citizens Volunteer Force	1	3	0	0	0
Civic Guard	1	1	0	0	0
Civic United Front (CUF)	1	0	0	0	0
Civil Association for Peace in Colombia, Asocipaz	1	9	0	0	0
Civil Cooperation Bureau	1	0	0	0	0
Civil Defense Force (CDF)	1	21	0	0	0
civil guards	1	1	4	0	0
Civil Servants and Unionists	1	0	2	0	0
Civil War Veterans	2	1	23	0	0
Civilians Seeking Revenge	1	1	0	0	0
Clandestini Corsi	2	0	0	2	1
Cleansing Hand (La Mano Que Limpia)	1	2	0	0	0
Cleansing Squad	2	16	1	0	0
Coalition for Unity and Democracy (CUD)	4	0	0	0	0
Coalition of National Brigades	1	0	0	1	1
Coalition to Save the Preserves (CSP)	8	0	0	0	0
Coca Farmers	5	6	25	0	0
Colombia Without Guerrillas	4	6	0	0	0
Colombian Guerrillas	15	8	9	0	0
Colombian Patriotic Resistance	3	0	7	1	0.333333333333333
Colombian Revolution	1	6	0	0	0
Colombians	1	0	0	0	0
Colonel Karuna Faction	9	35	29	0	0
Columbia PM	2	2	0	0	0
Column 88	4	0	3	0	0
Comando Autónomo Voltaire Argandoña	1	0	0	0	0
Comando Bautista B	1	0	0	0	0
Comando Independiente Revolucionario	1	0	0	0	0
Comando Malvinas Argentinas	1	0	0	1	1
Comando Vermelho (Red Command)	1	0	0	1	1
Combat 18	3	0	46	0	0
Combat Brigades	1	1	0	0	0
Combat Nucleus of Communist Unity	1	0	0	0	0
combat territory groups	2	0	0	0	0
Combatant Communist Front	1	0	1	0	0
Combatant Nucleus for Communism	1	0	1	0	0
Combatent Communists	1	0	0	0	0
Comite Argentino de Lucha Anti-Imperialisto	4	0	0	4	1
Comite d'Action Viticole	3	0	0	0	0
Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)	1	0	0	1	1
Command for National Sovereignty	1	0	0	0	0
Commander Gonzalo Southern Group	1	0	0	0	0
Commander Luciano Varela Antiguerrilla Group	1	11	0	0	0
Commando 15th October	1	0	0	1	1
Commando 27 September	1	0	0	1	1
Commando Adolph Hitler	6	0	0	0	0
Commando Delta	2	1	1	0	0
Commando Heinz Neumann	1	1	1	1	1
Commando Internacionalista Simon Bolivar	1	0	0	1	1
Commandos	9	5	1	1	0.111111111111111
Commandos Against Self Destruction of the Universe	1	0	0	0	0
Commandos for A Popular alternative	4	38	0	0	0
Commandos for the Defense of Western Civilization	1	0	0	0	0
Commandos of France	3	0	1	1	0.333333333333333
Committee for a National Drive for Peace and Democracy	1	18	0	0	0
Committee for Direct Action Against War	2	0	0	1	0.5
Committee for the Defense of Italian Workers in France	1	0	0	1	1
Committee for the Elimination of Killer Collaborators	1	1	50	0	0
Committee for the Safeguard of the Islamic Revolution	2	1	0	1	0.5
Committee of action against bull fights	1	0	0	0	0
Committee of Coordination	4	6	21	0	0
Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)	10	4	118	3	0.3
Commune 1	1	0	0	1	1
Communist Anti-Imperialistic Revolutionaries	1	0	0	0	0
Communist Anti-Nuclear Front	5	0	0	0	0
Communist Armed Nucleus	1	0	0	1	1
Communist Attack Brigades	1	0	1	0	0
Communist Attack Units	1	0	0	0	0
Communist Brigade Dante Dimani	1	0	0	0	0
Communist Brigades	1	0	0	0	0
Communist Combat Unit	2	0	0	0	0
Communist Combattant Cells (CCC) (Belgium)	21	3	15	8	0.380952380952381
Communist Fighters Association	1	0	1	0	0
Communist Fighters Group	1	0	0	1	1
Communist Fighting Corunim- Maria Anna Maria	1	0	0	0	0
Communist Fighting Detachments	1	0	0	0	0
Communist Fighting Front	1	0	1	0	0
Communist Fighting Nuclei	2	0	0	1	0.5
Communist Fighting Unit	11	1	2	1	0.0909090909090909
Communist Front for Counterpower	2	0	0	2	1
Communist Group of Proletarian Internationalism	3	0	0	3	1
Communist Guerilla Nuclei	1	0	0	0	0
Communist Hunters Command (CCC)	3	0	0	0	0
Communist Nuclear	1	1	0	0	0
Communist Nuclei of Counter Power	1	0	0	0	0
Communist Party of India	4	2	2	0	0
Communist Party of India - Maoist (CPI-M)	1416	1889	1299	6	0.00423728813559322
Communist Party of India- Marxist	2	0	26	0	0
Communist Party of India- Marxist-Leninist	8	20	27	0	0
Communist Party of Malaysia- Marxist-Leninist	2	0	0	0	0
Communist Party of Nepal- Maoist (CPN-M)	23	654	319	2	0.0869565217391304
Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)	3	2	8	0	0
Communist Party of Thailand	3	6	0	0	0
Communist Patrols for Counter Power	2	0	2	0	0
Communist Progress	2	0	0	0	0
Communist Territorial Nuclei	5	1	1	0	0
Communist Territorial Unit	1	0	0	0	0
Communist Trade Union Workers	1	1	0	0	0
Communist Warrior's Union	1	0	0	0	0
Communists	75	207	105	6	0.08
Communists Fighting Imperialism and Armaments	2	0	2	0	0
Comrades in Arms	1	0	0	0	0
Comrades Organized in Partisan Nuclei	1	0	0	0	0
Comuneros	1	0	0	0	0
Concerned citizens	1	1	0	0	0
Condor	3	0	2	2	0.666666666666667
Condor Plan Criminals	1	2	1	0	0
Confederation of Iranian Students/National Union (CISNU)	1	0	3	1	1
Congolese Armed Patriotic Group	1	15	0	0	0
Congolese Liberation Party (PLC)	1	28	0	0	0
Congolese National Movement- Lumumba (MNCL)	2	2	0	0	0
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)	1	1	2	0	0
Congolese Rally for Democracy (RCD)	1	0	2	1	1
Congress of Kabardian People	1	0	0	0	0
Congress Party Activists	3	3	5	0	0
Conqueror Army	2	0	67	0	0
Conscientious Arsonists (CA)	5	0	0	2	0.4
Conspiracy of Cells of Fire	45	0	3	13	0.288888888888889
Continental Revolutionary Army	2	0	4	0	0
Continuing Struggle	1	0	0	1	1
Continuity Irish Republican Army (CIRA)	27	7	21	7	0.259259259259259
Continuous Struggle	1	0	0	0	0
Contras	93	427	55	2	0.021505376344086
Convention of Liberal Reformers (CLR)	1	4	0	0	0
Convention of Patriots for Justice and Peace	2	36	4	0	0
Coordination for Revolutionary Action(CAR)	16	0	0	0	0
Coordination of Anti-atomic Power Plant Saboteurs	1	0	0	0	0
Coordination of the United Revolutionary Organization (CORU)	13	75	10	10	0.769230769230769
Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)	1	0	0	0	0
Corsican Farmers' Front	1	0	0	1	1
Corsican National Liberation Front (FLNC)	577	13	103	416	0.720970537261698
Corsican National Liberation Front- Historic Channel	128	0	0	124	0.96875
Corsican Nationalists	7	0	0	7	1
Corsican Revolutionary Brigade	3	0	1	3	1
Corsican Separatists	62	1	0	59	0.951612903225806
Costa Rican Peoples' Army (EPC)	1	0	0	0	0
Council for Popular Justice	2	0	0	0	0
Council for the Destruction of Order	1	0	0	0	0
Counter-revolutionaries	23	39	51	0	0
Counterrevolutionary Solidarity (SC)	1	0	0	1	1
Coup Plotters Against the Government	1	40	0	0	0
Covenant, Sword and the Arm of the Lord (CSA)	4	1	0	0	0
Crazy Brabant Killers	1	7	3	0	0
Croat Democratic Union	1	0	0	0	0
Croatian Freedom Fighters	5	1	6	2	0.4
Croatian Liberation Army	1	0	0	0	0
Croatian Militia	1	41	0	1	1
Croatian Nationalists	35	43	102	24	0.685714285714286
Croatian Revolutionary Cell-Bruno Busic Dept	1	0	0	1	1
Croatians	3	1	26	1	0.333333333333333
CSS Movement	1	0	0	0	0
Cuban Action	13	0	7	5	0.384615384615385
Cuban C-4 Movement	1	0	0	1	1
Cuban Exiles	22	0	2	4	0.181818181818182
Cuban Secret Army	1	0	0	0	0
Cubans seeking escape from Cuba	1	0	0	0	0
Cuncolta Naziunalista	1	2	0	1	1
Cypriot	1	0	0	1	1
Cyprus Turkish People's Movement	7	0	0	0	0
Dacoits	18	81	53	4	0.222222222222222
Dagestani Shari'ah Jamaat	5	13	30	0	0
Dainihon Yokuko Doshikai	1	0	1	0	0
Danish Neo-Nazi Group	1	0	1	1	1
Dark Harvest	2	0	0	0	0
David's Sword	1	1	0	0	0
Dawn Forces	1	2	0	0	0
Dayak gang	1	8	0	0	0
Death Squad	326	813	103	7	0.0214723926380368
Death Squad of Organization Zero (Organizacion Cero)	1	6	0	0	0
Death to Bazuqueros	6	0	0	0	0
Death to Drug Traffickers	1	2	5	0	0
Death to Kidnappers (MAS)	18	43	1	0	0
Death to Rustlers	3	21	0	0	0
Death to the Demobilized Militias	1	1	0	0	0
Deccan Mujahideen	8	184	252	1	0.125
December 13 Independent Group	3	0	0	0	0
Defenders of the Fatherland	2	0	0	0	0
Delta Democratic Militia	1	0	3	0	0
Delta Group	3	2	0	2	0.666666666666667
Democratic Front for Renewal (FDR)	2	19	8	0	0
Democratic Front for the Liberation of Palestine (DFLP)	44	61	225	14	0.318181818181818
Democratic Front for the Liberation of Rwanda (FDLR)	29	215	123	1	0.0344827586206897
Democratic Iraqi Opposition of Germany	1	0	2	1	1
Democratic Karen Buddhist Army (DKBA)	21	49	53	12	0.571428571428571
Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)	2	0	0	0	0
Democratic Party	1	0	0	0	0
Democratic Progressive Party	1	0	0	0	0
Democratic Revolutionary Alliance (ARDE)	141	1803	237	2	0.0141843971631206
Democratic Revolutionary Front (FDR)	4	1	4	1	0.25
Democratic Revolutionary Party	12	10	99	0	0
Demonstration led by French Anti-Nazi Hunters	1	0	0	0	0
Demonstrators	1	0	0	0	0
Deniers of Holidays	1	0	0	0	0
Depositers angered	1	0	0	0	0
Dev Genc	1	0	0	0	0
Dev Sol	253	126	131	46	0.181818181818182
Dev Yol	4	0	0	0	0
Devrimici Halk Kurtulus Cephesi (DHKP/C)	17	10	55	1	0.0588235294117647
Didier Ratsiraka’s Militia	1	0	0	0	0
Dignity Command	1	0	0	0	0
Dignity for Colombia	4	3	2	0	0
Dima Halao Daoga (DHD)	24	32	45	0	0
Dioulas tribal group	1	4	0	0	0
Direct Action Against Drugs (DADD)	4	4	0	0	0
Disgruntled Petroecuador workers	1	0	0	0	0
Dishmish Regiment	43	6	0	0	0
Dissident	2	0	0	1	0.5
Dissident Military Mmbrs of Northern Tribal Group	1	150	0	0	0
Dissidents linked to Zanga	1	2	0	0	0
Diyala Salvation Council	1	15	0	0	0
Dnester region guerrilas	1	5	0	0	0
Dnestr Rebels	1	2	12	1	1
Dnestr Republic Separatists	2	0	0	2	1
Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems	1	0	0	0	0
Dominican Popular Movement (MPD)	2	0	0	2	1
Down with Lubbers	2	0	0	0	0
Draa El Mizan Seriat	2	5	0	0	0
Drug-Related Terrorists	5	13	5	1	0.2
Druzes	5	0	1	1	0.2
Dukhta-ran-e-Millat	1	1	2	0	0
Dynamic Youth Forum	2	0	0	0	0
E. Timorese Youths	6	3	15	0	0
Eagles of the Palestinian Revolution	9	5	4	5	0.555555555555556
Earth First!	3	0	0	0	0
Earth Liberation Front (ELF)	70	0	1	0	0
Earth Night Action Group	1	0	0	0	0
East Asia Anti Japanese Armed Front	12	2	0	1	0.0833333333333333
East Coast Conspiracy to Save Lives	2	0	0	0	0
East Side Action Committee	1	0	0	0	0
East Timorese Activists	15	23	27	2	0.133333333333333
East Turkistan Liberation Organization	1	1	0	0	0
Eastern Turkistan Islamic Movement (ETIM)	4	9	15	0	0
Ecology and Antinuclear Revolutionary Party (CRAE)	1	0	0	0	0
Ecuadorian Communist Youth	1	0	0	1	1
Ed'daoua Es'salafia Lilqadha	1	5	0	0	0
Eelam People's Revolutionary Liberation Front (EPRLF)	7	60	71	0	0
Effiat ethnic roup or Jbibio Peoples	1	80	0	0	0
Egbema National Front	1	0	0	0	0
Egbesu Youths of the Bayelsa	2	22	0	0	0
Egypt's Revolution	3	2	7	3	1
Egyptian Revolutionary Organization	1	0	1	0	0
Egyptian Tawhid and Jihad	1	18	87	0	0
Egyptians	1	5	6	0	0
Ein Tyrol (One Tyrol)	5	0	1	0	0
Ejercito de Liberacion Nacional (Bolivia)	3	0	0	2	0.666666666666667
Ejercito Revolucionaria del Pueblo (ERP) (Argentina)	85	19	15	39	0.458823529411765
Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)	1	0	0	1	1
El Mico Rebel Gray	1	2	0	0	0
El Movimiento Revolucionario Independinista	1	0	0	1	1
El-Feth katibat	1	0	3	0	0
Elements Police Cobra Squadron	1	4	9	0	0
Elos security firm	1	0	0	0	0
Emilio Recabarren Commando	1	0	0	0	0
Enraged Revolutionaries	1	0	0	0	0
Environmental Life Force	2	0	0	0	0
Environmentalist	1	0	0	0	0
Enyele Militia	1	0	0	0	0
Eritrean Liberation Front	21	32	0	17	0.80952380952381
Eritrean Peoples Liberation Front	4	2	0	0	0
Eritrean Salvation Front (ESF)	1	17	5	0	0
Erotic Anti-authority Cells	1	0	0	1	1
Ethiopian Dongiro tribesmen	1	0	0	0	0
Ethiopian People's Revolutionary Party	5	241	308	3	0.6
Ethiopians	2	0	0	1	0.5
Ethnic Russian Separatists	1	0	0	1	1
Etnocacerista Movement	1	4	0	0	0
Eva Peron Organization	2	0	0	2	1
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)	5	0	0	0	0
Evangelical Christians	1	8	0	0	0
Ex-Somoza National Guard	23	88	14	3	0.130434782608696
Extortionists	4	0	2	0	0
Extraparliamentary Opposition (APO)	6	0	0	6	1
Extreme Left	1	0	1	0	0
Extreme Right Commando Brigade	1	6	0	0	0
Extreme Right-wing Socialist Phalange	1	1	0	1	1
Extremist Nat'list Group	1	10	40	0	0
Extremists	28	11	17	2	0.0714285714285714
FACDM	1	0	0	1	1
Face to Face (Face-a-Face)	1	0	0	0	0
Faithful Resistance	1	5	0	0	0
Falange	1	0	0	0	0
Falangist Security Group	1	0	0	0	0
Falangist Vanguard	1	0	0	1	1
Fanatical Ecologists	1	0	0	0	0
Fanmi Lavalas	1	0	1	0	0
Faqra Tribal Group	1	12	11	0	0
Farabundo Marti National Liberation Front (FMLN)	3351	8065	4065	35	0.0104446433900328
Farighan	3	0	0	0	0
Farm Animal Revenge Militia (FARM)	2	0	0	0	0
Farmer's Movement of the Philippines (KMP)	1	1	0	0	0
Farmers	5	5	0	1	0.2
Fatah al Islam	2	3	2	1	0.5
Fatah Hawks	5	5	19	1	0.2
Fatah Uprising	6	0	19	1	0.166666666666667
Father of the Poor	1	0	0	0	0
Fatherland	1	0	0	0	0
Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)	1	0	0	1	1
February 27 Revolutionary Armed Forces	1	0	0	0	0
February 28 Popular League (El Salvador)	15	41	0	3	0.2
Fedayeen	3	0	0	0	0
Fedayeen Imam Mahdi	1	5	0	0	0
Fedayeen Khalq (People's Commandos)	7	0	6	7	1
Fedayeen of the Imperial Iranian Monarchy	1	0	0	1	1
Federation of Students and Scholars of Cote d'Ivoire (FESCI)	2	0	0	0	0
Feliciano Argueta Front	1	0	0	0	0
Fight Against Authority	1	0	0	1	1
Fighters for Communism	2	0	1	1	0.5
Fighters for the Liberation of the Turkish People	1	1	0	0	0
Fighters of Democratic Latvia	1	0	0	0	0
Fighters of the People	1	0	0	0	0
Fighting Communist Front	1	0	0	0	0
Fighting Communist Unit	1	0	1	0	0
Fighting Communists	1	0	0	0	0
Fighting Ecologist Movement	1	0	5	0	0
Fighting For Freedom Coalition (FFFC-Ottawa)	1	0	0	0	0
Fighting Guerrilla Formation	5	0	2	2	0.4
Fighting Nucleus for Communism	1	0	0	1	1
Fighting Popular Rally	7	0	0	7	1
Fighting Proletarian Front	1	0	0	0	0
Fighting Proletarian Squads	13	0	0	13	1
Fighting Women	1	0	0	0	0
Fighting Workers for Communism	1	0	1	0	0
Filipino Communists	1	5	0	0	0
Filipino Soldiers for the Country	2	6	120	0	0
Fire Group	3	0	0	0	0
First Capital Command (PCC)	1	0	0	0	0
First May Movement	1	2	0	0	0
First of October Antifascist Resistance Group (GRAPO)	210	86	87	18	0.0857142857142857
Flower City Conspiracy	1	0	0	0	0
Flying Eagles (Vigilante Group)	1	24	0	0	0
Foibe tribe	1	12	0	0	0
Forbid the Evil Group (Moslem Militants)	3	0	0	0	0
Forbidden Blockade (Greece)	1	0	0	1	1
Force 17	13	10	77	3	0.230769230769231
Forces for the Defense of Democracy (FDD)	5	10	7	0	0
Forces for the Unification of the Central African Republic (FIRCA)	1	0	0	0	0
Forces of the Free Arab	1	0	0	1	1
Forces of the Struggling Ranks	4	0	0	3	0.75
Forest Brothers	2	2	5	0	0
former "comrades-in-arms"	1	1	0	0	0
Former Border Policeman	1	0	0	0	0
Former Govt. Troops	2	0	2	0	0
Former Interior Ministry Officers	3	0	0	3	1
Former members Central Investigation Office	1	0	0	0	0
Former Muslim Guerrillas	1	0	0	0	0
Former Soldiers/Police	2	1	0	0	0
Former Student Hostel	1	0	0	0	0
Forqan Group	18	17	106	2	0.111111111111111
Forum for the Restoration of Democracy-Kenya	2	1	0	0	0
Fourth Reich Skinheads	1	0	0	0	0
France's Honour	1	0	0	0	0
Francia	8	0	0	7	0.875
Francisco Villa People's Front	2	1	0	0	0
Fred Hampton Unit of the People's Forces	5	0	1	0	0
Free Aceh Movement (GAM)	116	133	181	4	0.0344827586206897
Free All Political Prisoners in Holland	1	0	0	0	0
Free Democratic People's Government of Laos	1	0	0	0	0
Free Fatherland	2	2	0	0	0
Free Fatherland Youth Guerrilla Army	1	0	0	0	0
Free Galician People's Guerrilla Army	47	4	41	1	0.0212765957446809
Free Lebanon	1	0	7	1	1
Free Nasserite Revolutionaries	2	26	42	2	1
Free Papua Movement (OPM-Organisasi Papua Merdeka)	18	23	12	4	0.222222222222222
Free Revolutionaries Movement-The Giants	1	5	30	0	0
Free Syrian Army	2	10	0	0	0
Free Vietnam Movement	1	0	0	0	0
Freedom Eagles of Africa	2	0	0	2	1
Freedom Party	3	4	15	0	0
French Armed Islamic Front	1	0	10	1	1
French Basque Nationalists	1	0	0	0	0
French Liberation Front	1	0	0	0	0
French National	1	1	0	1	1
Friendly Company	1	0	0	0	0
Friends of Freedom	2	0	0	1	0.5
Front de Liberation du Quebec (FLQ)	2	1	0	1	0.5
Front for Armenian Liberation	1	0	0	1	1
Front for Peace and Reconciliation (FRP)	1	0	0	0	0
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)	2	0	0	2	1
Front for the Liberation of Lebanon from Foreigners	15	287	815	8	0.533333333333333
Front For the Liberation of the Azores	8	0	11	0	0
Front for the Liberation of the Enclave of Cabinda (FLEC)	21	23	16	15	0.714285714285714
Front for the Liberation of the French Somali Coast	3	1	0	2	0.666666666666667
Front for the National Liberation of Puerto Rico	3	0	0	3	1
Front for the Restoration of Unity and Democracy	5	236	47	0	0
Front Line Armed Nuclei (FLAN)	1	0	1	0	0
Front of French National Liberation	1	0	1	0	0
Front of Resistance and National Liberation of Albanians	1	0	2	0	0
Fronte Paesanu Corsu di Liberazione (FPCL)	1	0	0	1	1
Fuerza Nueva	5	1	0	0	0
Fuerzas Armadas de Liberacion Nacional (FALN)	123	7	87	8	0.0650406504065041
Fuerzas Armadas Revolucionarias del Pueblo (FARP)	3	0	5	0	0
Fuerzas Autonómicas y Destructivas León Czolgoscz	1	0	1	0	0
Fuerzas Populares Jose Leonardo Chirinos	1	0	0	0	0
Fulani Militants	3	13	8	0	0
Fundamentalists	2	0	0	0	0
Furious Rebellion	1	0	0	0	0
Future movement (Lebanon)	2	2	2	0	0
GAC	7	0	0	1	0.142857142857143
Ganda Koi	1	0	7	1	1
Gang	4	9	64	0	0
Gang separatists terrorists	1	0	3	0	0
Gangs of Conscience	2	0	0	0	0
Garo National Liberation Army	25	17	26	0	0
Gay Liberation Front	2	0	0	0	0
Gazteriak	1	0	0	0	0
Generation of Arab Fury	2	1	16	0	0
George Jackson Brigade	20	1	0	0	0
Georgian guerrillas	1	0	0	0	0
Georgian Militants	3	36	8	1	0.333333333333333
Georgian rebels	2	1	5	0	0
Georgian Sabotage Group	1	4	0	0	0
German Speaking Separatists	3	0	0	0	0
Gholam Yahya Akbar	1	0	0	0	0
Gilad Shalhevet Brigades	1	3	4	0	0
Global Intifada	3	0	0	1	0.333333333333333
GN-95	1	0	1	0	0
God our Father Cult	1	5	0	0	0
God's Army	2	6	0	0	0
God's Oppressed Army	2	0	0	0	0
Gono Bahini (GB)	2	4	0	0	0
Government Supporters	1	0	1	0	0
GP II	1	0	1	1	1
Gracchus Babeuf	5	0	0	3	0.6
Great Eastern Islamic Raiders Front (IBDA-C)	36	5	19	4	0.111111111111111
Great Japan Patriotic Party	1	0	0	0	0
Greek Anarchists' Union	2	0	1	0	0
Greek Anti-Dictatorial Youth (EAN)	1	0	0	1	1
Greek Bulgarian Armenian Front	1	1	1	1	1
Greek National Socialist Organization	3	1	1	1	0.333333333333333
Greek Popular Resistance	1	0	0	0	0
Grey Wolves	8	1	4	2	0.25
Group for a Strong Revolutionary Movement	1	0	0	1	1
Group for Martyred Isam as-Sartawi	2	0	0	2	1
Group of Carlo Giuliani	1	0	0	0	0
Group Yuri Choukewitch	1	0	0	1	1
Groups Seeking Independence	1	0	1	1	1
Grozny Jamaat	1	17	5	0	0
Grupo Armado de Liberacion Argentina (GALA)	1	0	0	0	0
Grupo de Combatientes Populares	2	0	0	0	0
Grupo Estrella	4	0	2	2	0.5
Grupo Libertad	1	0	0	0	0
Gruppe Haw Weg Den Scheiss	2	0	0	2	1
Guadalcanal Liberation Army	1	2	0	0	0
Guadalcanal Liberation Front (GLF)	1	1	0	0	0
Guadeloupe Liberation Army	7	1	1	2	0.285714285714286
Guadeloupe Separatists	1	0	1	0	0
Guajajara Tribe	1	0	0	0	0
Guardians of the Islamic Revolution	2	2	1	2	1
Guards of the Fighting Proletariat	1	0	0	0	0
Guardsmen of Islam	2	3	3	1	0.5
Guatemalan Communist Party	2	13	0	0	0
Guatemalan hired assasins	1	1	0	0	0
Guatemalan Labor Party (PGT)	22	11	1	5	0.227272727272727
Guatemalan National Revolutionary Unity (URNG)	131	115	81	5	0.0381679389312977
Guaycaipuro Indians	1	0	0	0	0
Guerilla Party of the Galician Poor	3	0	0	0	0
Guerrilla Army of the Poor (EGP)	157	579	103	13	0.0828025477707006
Guerrilla Command Force 97	1	0	1	0	0
Guerrilla Commando of the people	1	0	0	1	1
Guerrilla Forces for Liberation	7	0	0	6	0.857142857142857
Guerrilla Movement of the Poor (MGP)	1	0	0	0	0
Guerrillas	51	96	120	5	0.0980392156862745
Guerrillas of Christ the King	2	0	8	0	0
Gugama Youth Federation	1	0	0	1	1
Gulbuddin Hekmatyar group	4	0	5	1	0.25
Gulf Cartel	1	8	101	0	0
Gun runners	1	5	0	0	0
Gunmen	280	510.999999999	353	19	0.0678571428571429
Gunmen loyal to Mohammad Farah Aideed	1	0	0	1	1
Gurkha National Liberation Front (GNLF)	59	43	51	0	0
Gutierrez Gomez Resistance Group	2	0	0	0	0
H-World/Heavenly Group	1	3	0	0	0
Habi's Er'roub seriat	1	7	0	0	0
Habr Gedir Clan	3	7	52	2	0.666666666666667
Haika	1	0	0	0	0
Hamas (Islamic Resistance Movement)	283	751	2798	110	0.3886925795053
Hamawand Tribe	1	14	0	0	0
Hanafi Muslims	3	1	0	0	0
Hanchongryun	1	0	30	0	0
Haqqani Network	39	402	765	13	0.333333333333333
Harakat ul-Mujahidin (HuM)	3	2	5	1	0.333333333333333
Harakat ul-Mujahidin Al-Almi	1	3	0	1	1
Harakat-i-Inqilahi-i-Islami	1	1	0	1	1
Harkat ul Ansar	11	17	78	1	0.0909090909090909
Harkatul Jihad-e-Islami	12	188	587	1	0.0833333333333333
Hasmoneans (Jewish Settler Group)	1	0	0	0	0
Hatikvah Leumi or National Hope	1	0	0	1	1
Hauso Ethnic Group	1	13	100	0	0
Hector Rio De Brigade	1	4	9	0	0
Hekla Reception Committee-Initiative for More Social Eruptions	5	0	0	0	0
Hells Angels	1	0	2	0	0
Heroes of Canto Grande	1	0	0	0	0
Hezb-e Wahdat-e Islami-yi Afghanistan	5	5	0	1	0.2
Hill Students Council	1	0	1	0	0
Hill Tiger Force (HTF)	4	1	3	0	0
Himali Tigers	1	0	0	0	0
Hindu Group	8	42	34	1	0.125
Hiroyuki Jo	1	1	0	0	0
Hizb al-Tahrir al-Islami (HT)	2	0	0	0	0
Hizb-I-Islami	22	29	131	5	0.227272727272727
Hizballah	367	1189	1726	158	0.430517711171662
Hizballah Palestine	3	5	9	3	1
Hizbul al Islam (Somalia)	17	44	47	1	0.0588235294117647
Hizbul Mujahideen (HM)	85	281	493	0	0
Hmar People's Convention-Democracy (HPC-D)	1	0	0	0	0
Hofstad Network	1	1	2	0	0
Holders of the Black Banners	1	0	0	1	1
Holy Spirit Movement	7	80	0	2	0.285714285714286
Homeland and Freedom Group	1	0	0	0	0
Honour of the Police	1	1	0	0	0
hooded men	1	0	0	0	0
Hoodie Wearers	1	0	0	0	0
Hotaru (Firefly)	1	0	0	1	1
Hubay Qah Group	1	0	0	0	0
Human Rights Defence Committee	1	0	0	0	0
Human Rights Protesters	3	0	0	3	1
Human Rights Renewal Movement (Renovacion por los Derechos Humanos)	1	0	0	0	0
Hungarian exile	1	0	0	1	1
Hungarian Skin Head Group	1	0	1	1	1
Huria Kristen Batak Protestan (HKBP)	4	1	25	0	0
Hushaysh Tribal Members	1	0	0	0	0
